Status;TypeAnlegg;KraftverksNavn;Forventet elsertifikatberettiget produksjon, GWh;ESerfikatProdMWH;SerfikatProdmndMWH;YtelseMW;Idriftsettelsedato;Maalet;ENormaarProd;Overgangsordning;HeleProd;GodkjentDato;Startdato;Sluttdato;Foretaksnavn;Fylke;Kommune;Omraade
Godkjent;Vannkraft;Fossane - Molla;0,69;686;57,2;0,32499998;20.01.2006;Nei;;0,69;ja;28.03.2012;02.04.2012;21.04.2021;FOSSANE MIKROKRAFTVERK AS;Rogaland;Sauda;EL 2
Godkjent;Vannkraft;Kyrkjevollgrova;0,88;882;73,5;0,30000001;15.02.2010;Nei;;0,88;ja;28.03.2012;30.01.2012;16.03.2025;KYRKJEVOLLGROVA SMÅSTØYT DA;Møre og Romsdal;Ørsta;EL 3
Godkjent;Vannkraft;Myrbekk;0,78;784;65,3;0,2;01.08.2005;Nei;;0,78;ja;28.03.2012;23.01.2012;23.08.2020;ARILD VAAGE;Rogaland;Suldal;EL 2
Godkjent;Vannkraft;Vaage;1,55;1548,4;129;0,49;14.05.2007;Nei;;1,55;ja;28.03.2012;23.01.2012;05.06.2022;VAAGE KRAFT AS;Rogaland;Suldal;EL 2
Godkjent;Vannkraft;Vik;5;5000;416,7;1,51999998;02.02.2011;Nei;;5;ja;28.03.2012;30.01.2012;03.03.2026;VIK KRAFT AS;Rogaland;Vindafjord;EL 2
Godkjent;Vannkraft;Døla;6,9;6900;575;2,0999999;01.03.2011;Nei;;6,9;ja;28.03.2012;30.01.2012;30.03.2026;NTE ENERGI AS;Trøndelag;Steinkjer;EL 3
Godkjent;Vannkraft;Løgjen;2,27;2272,4;189,4;0,56999999;05.09.2007;Nei;;2,27;ja;28.03.2012;30.01.2012;04.10.2022;DALANE KRAFT AS;Rogaland;Lund;EL 2
Godkjent;Vannkraft;Kvassteinåga;14,7;14700;1225;4,32999992;25.08.2011;Nei;;14,7;ja;28.03.2012;23.01.2012;16.09.2026;NORSK GRØNNKRAFT AS;Nordland;Vefsn;EL 4
Godkjent;Vannkraft;Ask Kraft;0,78;784;65,3;0,19499999;10.08.2007;Nei;;0,78;ja;28.03.2012;06.02.2012;15.09.2022;ASK Opstvedt;Rogaland;Vindafjord;EL 2
Godkjent;Vannkraft;Svartevatn;2,94;2940;245;0,759;01.03.2008;Nei;;2,94;ja;28.03.2012;06.02.2012;07.04.2023;SKS PRODUKSJON AS;Nordland;Bodø;EL 4
Godkjent;Vannkraft;Unhjemskraft;3,43;3430;285,8;0,89999997;22.10.2004;Nei;;3,43;ja;29.03.2012;09.04.2012;29.01.2020;UNHJEMKRAFT AS;Møre og Romsdal;Rauma;EL 3
Godkjent;Vannkraft;Seteråa;3,2;3200;266,7;1;20.10.2006;Nei;;3,2;ja;29.03.2012;09.04.2012;26.01.2022;SETERÅA KRAFT AS;Trøndelag;Tydal;EL 3
Godkjent;Vannkraft;Bjelland II;2,55;2548;212,3;0,70999997;02.11.2011;Nei;;2,55;ja;30.03.2012;09.04.2012;08.02.2027;BJELLAND & MUSLAND KRAFT AS;Rogaland;Tysvær;EL 2
Godkjent;Vannkraft;Hetland;0,98;980;81,7;0,275;24.09.2008;Nei;;0,98;ja;30.03.2012;09.04.2012;01.01.2024;HETLAND KRAFT AS;Rogaland;Vindafjord;EL 2
Godkjent;Vannkraft;Hjorteland (Hjortelandsåno);1,27;1274;106,2;0,47999998;10.12.2009;Nei;;1,27;ja;13.04.2012;23.04.2012;01.04.2025;HJORTELAND KRAFT AS;Rogaland;Suldal;EL 2
Godkjent;Vannkraft;Ålmo;3,92;3920;326,7;0,99;12.10.2006;Nei;;3,92;ja;24.04.2012;07.05.2012;15.02.2022;ÅLMO ENERGI AS;Møre og Romsdal;Aure;EL 3
Godkjent;Vindkraft;Åsen II;4,9;4900;408,3;1,6;05.03.2012;Ja;4,9;;ja;27.04.2012;07.05.2012;07.05.2027;SOLVIND ÅSEN AS;Rogaland;Time;EL 2
Godkjent;Vannkraft;Mulvik;1,37;1372;114,3;0,365;11.05.2010;Nei;;1,37;ja;16.05.2012;28.05.2012;05.10.2025;MULVIK KRAFT AS;Møre og Romsdal;Sunndal;EL 3
Godkjent;Vannkraft;Gursli;0,98;980;81,7;0,215;20.07.2009;Nei;;0,98;ja;14.05.2012;21.05.2012;07.12.2024;GURSLI MINIKRAFTVERK AS;Rogaland;Lund;EL 2
Godkjent;Vannkraft;Berdalselva;13,6;13600;1133,3;4,3499999;07.03.2011;Nei;;13,6;ja;14.05.2012;21.05.2012;25.07.2026;BERDALSKRAFT AS;Møre og Romsdal;Rauma;EL 3
Godkjent;Vannkraft;Ringdal;17,2;17200;1433,3;5,8499999;16.04.2011;Nei;;17,2;ja;23.05.2012;04.06.2012;17.09.2026;RINGDAL KRAFTVERK AS;Møre og Romsdal;Stranda;EL 3
Godkjent;Vannkraft;Ravnåga;5,64;5635;469,6;1,25;26.10.2011;Nei;;5,64;ja;25.05.2012;04.06.2012;29.03.2027;RAVNÅGA KRAFTVERK AS;Nordland;Rana;EL 4
Godkjent;Vannkraft;Oterbekken;0,78;784;65,3;0,30000001;03.06.2005;Nei;;0,78;ja;12.06.2012;25.06.2012;25.11.2020;SOLBU TERJE;Nordland;Rana;EL 4
Godkjent;Vannkraft;Mofjellet;2,55;2548;212,3;0,597;29.08.2011;Nei;;2,55;ja;20.06.2012;02.07.2012;27.02.2027;STATKRAFT ENERGI AS;Nordland;Rana;EL 4
Godkjent;Vannkraft;Kjølvik;0,88;882;73,5;0,34;18.10.2010;Nei;;0,88;ja;22.06.2012;02.07.2012;18.04.2026;JOHANNES KJØLVIK;Rogaland;Suldal;EL 2
Godkjent;Vannkraft;Nibbedalen;4,9;4900;408,3;1,70000004;04.04.2011;Nei;;4,9;ja;22.06.2012;02.07.2012;03.10.2026;TRYGGESTAD KRAFT AS;Møre og Romsdal;Stranda;EL 3
Godkjent;Vannkraft;Langedalen;21,1;21100;1758,3;5;03.05.2011;Nei;;21,1;ja;22.06.2012;02.07.2012;01.11.2026;TRYGGESTAD KRAFT AS;Møre og Romsdal;Stranda;EL 3
Godkjent;Vannkraft;Hommafossen;3;3000;250;0,99;26.11.2009;Nei;;3;ja;29.06.2012;09.07.2012;03.06.2025;HESKESTAD KRAFT AS;Rogaland;Lund;EL 2
Godkjent;Vannkraft;Vasstøl;24;24000;2000;4,8499999;20.06.2012;Ja;24;;ja;03.09.2012;17.09.2012;17.09.2027;Norsk Hydro ASA;Rogaland;Suldal;EL 2
Godkjent;Vannkraft;Holmem;2,65;2646;220,5;0,64999997;21.02.2009;Nei;;2,65;ja;12.09.2012;24.09.2012;14.11.2024;HOLMEM KRAFT AS;Møre og Romsdal;Rauma;EL 3
Godkjent;Vannkraft;Dalselva;1,18;1176;98;0,30000001;19.03.2010;Nei;;1,18;ja;13.09.2012;24.09.2012;10.12.2025;DALBYGDA KRAFTSENTER AS;Rogaland;Tysvær;EL 2
Godkjent;Vannkraft;Økstra;2,35;2352;196;0,57999998;19.09.2009;Nei;;2,35;ja;14.09.2012;24.09.2012;12.06.2025;ØKSTRA KRAFT AS;Rogaland;Suldal;EL 2
Godkjent;Vannkraft;Storli;2,55;2548;212,3;0,62;28.01.2009;Nei;;2,55;ja;17.09.2012;01.10.2012;28.10.2024;Aktieselskabet Saudefaldene;Rogaland;Sauda;EL 2
Godkjent;Vannkraft;Ørtvatn;11;11000;916,7;4,26999998;15.06.2012;Ja;11;;ja;24.09.2012;08.10.2012;08.10.2027;ØRTVATN KRAFTVERK AS;Nordland;Rana;EL 4
Godkjent;Vannkraft;Unkervatn;0,69;686;57,2;0,20999999;19.06.2008;Nei;;0,69;ja;27.09.2012;08.10.2012;26.03.2024;MILJØKRAFT HATTFJELLDAL AS;Nordland;Hattfjelldal;EL 4
Godkjent;Vannkraft;Standal;17,1;17100;1425;5,48999977;16.05.2012;Ja;17,1;;ja;28.09.2012;08.10.2012;08.10.2027;TUSSA ENERGI AS;Møre og Romsdal;Ørsta;EL 3
Godkjent;Vannkraft;Nedre Neset;7,8;7800;650;2,55999994;08.05.2012;Ja;7,8;;ja;01.10.2012;15.10.2012;15.10.2027;NESET KRAFT AS;Rogaland;Lund;EL 2
Godkjent;Vannkraft;Blikraåna;0,83;833;69,4;0,25;27.09.2006;Nei;;0,83;ja;02.10.2012;15.10.2012;11.07.2022;BLIKRAÅNA KRAFTVERK AS;Rogaland;Vindafjord;EL 2
Godkjent;Vannkraft;Gåsvasselva;4,02;4018;334,8;0,89999997;01.03.2007;Nei;;4,02;ja;02.10.2012;15.10.2012;13.12.2022;LIFJELLKRAFT AS;Nordland;Hemnes;EL 4
Godkjent;Vannkraft;Dversetelva;9,5;9500;791,7;3,68000006;07.06.2011;Nei;;9,5;ja;04.10.2012;15.10.2012;21.03.2027;DRAGEFOSSEN KRAFTANLEGG AS;Nordland;Saltdal;EL 4
Godkjent;Vannkraft;Skarelva;12;12000;1000;5;14.09.2012;Ja;12;;ja;10.10.2012;22.10.2012;22.10.2027;SMÅKRAFT AS;Nordland;Narvik;EL 4
Godkjent;Vannkraft;Svartvasselva;4,12;4116;343;0,898;15.05.2006;Nei;;4,12;ja;11.10.2012;22.10.2012;05.03.2022;UNIKRAFT AS;Nordland;Grane;EL 4
Godkjent;Vannkraft;Dalegjerdet;6;6000;500;2,29999995;21.06.2012;Ja;6;;ja;17.10.2012;29.10.2012;29.10.2027;TUSSA ENERGI AS;Møre og Romsdal;Ørsta;EL 3
Godkjent;Vannkraft;Ugedal;1,67;1666;138,8;0,60000002;20.03.2006;Nei;;1,67;ja;17.10.2012;29.10.2012;15.01.2022;UGEDAL ENERGI AS;Trøndelag;Åfjord;EL 3
Godkjent;Vannkraft;Bjørheimsbygd;3,53;3528;294;0,89999997;17.02.2006;Nei;;3,53;ja;17.10.2012;29.10.2012;15.12.2021;BJØRHEIMSBYGD KRAFTVERK AS;Rogaland;Strand;EL 2
Godkjent;Vannkraft;Bordalsbekken;5,9;5900;491,7;1,89999997;31.08.2012;Ja;5,9;;ja;23.10.2012;05.11.2012;05.11.2027;HAUGALAND KRAFT AS;Rogaland;Tysvær;EL 2
Godkjent;Vannkraft;Embla;16,5;16500;1375;4,90000009;15.08.2012;Ja;16,5;;ja;30.10.2012;12.11.2012;12.11.2027;EMBLA KRAFT AS;Møre og Romsdal;Stranda;EL 3
Godkjent;Vannkraft;Gryte I;3,72;3724;310,3;0,95599997;19.12.2006;Nei;;3,72;ja;12.11.2012;19.11.2012;06.11.2022;GRYTE KRAFT AS;Rogaland;Suldal;EL 2
Godkjent;Vannkraft;Hindbergelva;1,76;1764;147;0,52999997;09.01.2009;Nei;;1,76;ja;23.11.2012;03.12.2012;11.12.2024;SØRSIDA KRAFT AS;Trøndelag;Inderøy;EL 3
Godkjent;Vannkraft;Glutra;3;3000;250;0,85000002;03.08.2009;Nei;;3;ja;23.11.2012;03.12.2012;05.07.2025;GLUTRA KRAFT AS;Møre og Romsdal;Rauma;EL 3
Godkjent;Vannkraft;Ølselva;1,62;1617;134,8;0,56;09.04.2010;Nei;;1,62;ja;12.12.2012;24.12.2012;01.04.2026;ØLSELVA KRAFTVERK AS;Rogaland;Vindafjord;EL 2
Godkjent;Vannkraft;Tesra;0,69;688,8;57,4;0,21999999;12.09.2011;Nei;;0,69;ja;14.12.2012;30.07.2012;10.04.2027;TESRA KRAFT SA;Møre og Romsdal;Vanylven;EL 3
